{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 10, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_dist'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_dist
Episode:  97 controlled agent:  1 ; Episode Return:  -1059.5218613006982 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 39
Episode:  98 controlled agent:  1 ; Episode Return:  -1366.9970414071718 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 40
Episode:  99 controlled agent:  1 ; Episode Return:  -1428.5605332682135 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 40
Episode:  100 controlled agent:  1 ; Episode Return:  -1203.7422074112324 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 40
Episode:  101 controlled agent:  1 ; Episode Return:  -1374.9747468305864 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 40
Episode:  102 controlled agent:  1 ; Episode Return:  -1381.9747468305864 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 40
Episode:  103 controlled agent:  1 ; Episode Return:  -1233.0924958366772 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 40
Episode:  104 controlled agent:  1 ; Episode Return:  -1401.9970414071718 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 41
Episode:  105 controlled agent:  1 ; Episode Return:  -1412.8031739553326 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 41
Episode:  106 controlled agent:  1 ; Episode Return:  -1253.9554108468287 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 41
