{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 6, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map6_use_hit_wall'}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map6_use_hit_wall
Episode:  96 controlled agent:  1 ; Episode Return:  -1334.3767670841394 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 58
Episode:  97 controlled agent:  1 ; Episode Return:  -1077.1269837220825 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 58
Episode:  98 controlled agent:  1 ; Episode Return:  -1209.1269837220825 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 59
Episode:  99 controlled agent:  1 ; Episode Return:  -1218.10973977938 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 60
Episode:  100 controlled agent:  1 ; Episode Return:  -1299.925973595306 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 61
Episode:  101 controlled agent:  1 ; Episode Return:  -1426.5189027078704 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 62
Episode:  102 controlled agent:  1 ; Episode Return:  -1056.3624817342643 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 62
Episode:  103 controlled agent:  1 ; Episode Return:  -1230.381817718022 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 63
Episode:  104 controlled agent:  1 ; Episode Return:  -826.5096679918781 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 63
Episode:  105 controlled agent:  1 ; Episode Return:  -1001.9066376115486 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 64
Episode:  106 controlled agent:  1 ; Episode Return:  -894.6467529817264 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 65
Episode:  107 controlled agent:  1 ; Episode Return:  -1398.0508652763347 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 66
Episode:  108 controlled agent:  1 ; Episode Return:  -1423.0264786586945 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 66
Episode:  109 controlled agent:  1 ; Episode Return:  -993.9432175380086 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 67
Episode:  110 controlled agent:  1 ; Episode Return:  -1010.0731598529198 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 67
Episode:  111 controlled agent:  1 ; Episode Return:  -1394.8670990922606 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 68
Episode:  112 controlled agent:  1 ; Episode Return:  -1407.9503602129462 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 68
Episode:  113 controlled agent:  1 ; Episode Return:  -1072.0071426749369 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 68
Episode:  114 controlled agent:  1 ; Episode Return:  -1137.1269837220825 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 69
Episode:  115 controlled agent:  1 ; Episode Return:  -1255.2691193458136 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 70
Episode:  116 controlled agent:  1 ; Episode Return:  -1151.1980515339483 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 71
Episode:  117 controlled agent:  1 ; Episode Return:  -1016.0264786586943 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 72
Episode:  118 controlled agent:  1 ; Episode Return:  -1317.719912834647 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 73
Episode:  119 controlled agent:  1 ; Episode Return:  -1005.4751801064729 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 73
Episode:  120 controlled agent:  1 ; Episode Return:  -1060.0975464705598 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 74
Episode:  121 controlled agent:  1 ; Episode Return:  -1356.4406922210674 ; win rate(controlled & opponent):  0.64 0.36 ; Trained episode: 74
Episode:  122 controlled agent:  1 ; Episode Return:  -1250.264068711931 ; win rate(controlled & opponent):  0.64 0.36 ; Trained episode: 75
Episode:  123 controlled agent:  1 ; Episode Return:  -1366.7909806465127 ; win rate(controlled & opponent):  0.64 0.36 ; Trained episode: 75
Episode:  124 controlled agent:  1 ; Episode Return:  -1400.4823227814104 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 75
Episode:  125 controlled agent:  1 ; Episode Return:  -1381.1686142824256 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 75
Episode:  126 controlled agent:  1 ; Episode Return:  -1019.6122650963212 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 75
Episode:  127 controlled agent:  1 ; Episode Return:  -1309.369624409202 ; win rate(controlled & opponent):  0.63 0.37 ; Trained episode: 76
Episode:  128 controlled agent:  1 ; Episode Return:  -1226.9503602129462 ; win rate(controlled & opponent):  0.62 0.38 ; Trained episode: 76
Episode:  129 controlled agent:  1 ; Episode Return:  -1357.7960312803953 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 76
Episode:  130 controlled agent:  1 ; Episode Return:  -1244.2518754031112 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 76
Episode:  131 controlled agent:  1 ; Episode Return:  -1406.1269837220825 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 76
Episode:  132 controlled agent:  1 ; Episode Return:  -930.6639969244293 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 76
Episode:  133 controlled agent:  1 ; Episode Return:  -1217.381817718022 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 77
Episode:  134 controlled agent:  1 ; Episode Return:  -1335.1269837220825 ; win rate(controlled & opponent):  0.61 0.39 ; Trained episode: 77
Episode:  135 controlled agent:  1 ; Episode Return:  -1376.8549057834407 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 77
Episode:  136 controlled agent:  1 ; Episode Return:  -1088.7228714274747 ; win rate(controlled & opponent):  0.60 0.40 ; Trained episode: 77
