{'game_name': 'olympics-running', 'algo': 'ppo', 'max_episodes': 1500, 'episode_length': 500, 'map': 3, 'shuffle_map': False, 'seed': 1, 'device': 'cpu', 'save_interval': 100, 'render': False, 'load_model': False, 'load_run': 2, 'load_episode': 900, 'run_dir': 'map3_use_step_dist_train_by_win', 'actor_hidden_layers': 1, 'critic_hidden_layers': 1, 'num_frame': 1, 'use_cnn': False, 'train_by_win': True}
{'class_literal': 'OlympicsRunning', 'n_player': 2, 'max_step': 500, 'game_name': 'running', 'is_obs_continuous': True, 'is_act_continuous': True, 'agent_nums': [1, 1], 'obs_type': ['vector', 'vector'], 'map_num': 11, 'use_map_dist': True, 'use_hit_wall': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /mnt/lustre/sjtu/home/ywg12/remote/code/OlympicsProject/rl_trainer/models/olympics-running/ppo/map3_use_step_dist_train_by_win
Use CNN: False
Episode:  53 controlled agent:  1 ; Episode Return:  -557.5634918610407 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 20
Episode:  54 controlled agent:  1 ; Episode Return:  -550.7106781186546 ; win rate(controlled & opponent):  0.37 0.63 ; Trained episode: 20
Episode:  55 controlled agent:  1 ; Episode Return:  -760.4507934888323 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 20
Episode:  56 controlled agent:  1 ; Episode Return:  -242.2842712474619 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 21
Episode:  57 controlled agent:  1 ; Episode Return:  -599.3969696196699 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 22
Episode:  58 controlled agent:  1 ; Episode Return:  -224.55634918610406 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 22
Episode:  59 controlled agent:  1 ; Episode Return:  -535.4995667241127 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 23
Episode:  60 controlled agent:  1 ; Episode Return:  -280.02438661763944 ; win rate(controlled & opponent):  0.38 0.62 ; Trained episode: 23
Episode:  61 controlled agent:  1 ; Episode Return:  -343.4558441227157 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 23
Episode:  62 controlled agent:  1 ; Episode Return:  -584.225396744416 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 24
Episode:  63 controlled agent:  1 ; Episode Return:  -384.2842712474619 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 24
Episode:  64 controlled agent:  1 ; Episode Return:  -608.4386001800124 ; win rate(controlled & opponent):  0.39 0.61 ; Trained episode: 25
Episode:  65 controlled agent:  1 ; Episode Return:  -40.38477631085022 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 25
Episode:  66 controlled agent:  1 ; Episode Return:  -979.7056274847718 ; win rate(controlled & opponent):  0.41 0.59 ; Trained episode: 26
Episode:  67 controlled agent:  1 ; Episode Return:  -1003.8355697996827 ; win rate(controlled & opponent):  0.40 0.60 ; Trained episode: 27
